Name of the file,Topic,Participant,CN,Dialogue,Translation,CS/DM/SS,Comments,,,,,,
,,Fred (cont.),,"<Swahili>Hakuna mahali utawapeleka</Swahili> cuz <Swahili>ukisema ""ib"", ""Ibeka""</Swahili> make that <Swahili label='exemplification'>atakuwa anasema ""imeboeka"" [uncertain transcription]</Swahili label='exemplification'>.  (He talks for an extended time using nonsense words that are made up from contorted Luo words) In fact that's why these people <Swahili>kuna</Swahili> the <Swahili>hawataki watu wawaelewe</Swahili>. That <Swahili>unaona ndio maana hata Sheng ina-inachipuka</Swahili>. The <Swahili>vijana hawataki wazazi wa-wagundue wanayoyasema</Swahili>. Like for example people can be saying very dirty things near their parents. And the parents will not even know. Cuz when you say [uncertain transcription] parents <Swahili>watakuwa wanajua [uncertain transcription]. (laughs), hawatajua</Swahili>. So now <Swahili>ni kitu watu wanataka yani kuficha siri</Swahili> nowadays there are too many secrets that people want to [uncertain transcription] <Swahili>hawataki ku:-kuambiana.</Swahili>","<English>There is no place you will take them</English> cuz <English>if you say ""ib"", ""Ibeka""</English> make that <English>s/he will be saying ""imeboeka"" [uncertain transcription]</English>.  (He talks for an extended time using nonsense words that are made up from contorted Luo words) In fact that's why these people <English>there is</English> the <English>they don't want people to understand them</English>. That <English>you see that is why even Sheng is blossoming</English>. The <English>youth don't want hte parents to-to know what they are saying</English>. Like for example people can be saying very dirty things near their parents. And the parents will not even know. Cuz when you say [uncertain transcription] parents <English>they will know [uncertain transcription]. (laughs), they won't know</English>. So now <English>there is a thing people want to hide secrets</English> nowadays there are too many secrets that people want to [uncertain transcription] <English>they don't want to-to tell each other.</English>",CS,SM: Exemplification.,,,,,,
,,Interview,,I don't think there is a way we can-we can control that. There will always come new words and we'll always attach new meanings to old words.,I don't think there is a way we can control that. There will always come new words and we'll always attach new meanings to old words.,,,,,,,,
,,Fred,,"Exactly.  Okay. <Swahili>Itakuwa ita-inachipukachipuka kila siku kama</Swahili> for example if you-<Swahili>kitambo</Swahili> when I was in high-in primary <Swahili>unaona hii mbuyu ilikuwa hiko mingi sana. Mtu anaichambua eti</Swahili>dad <Swahili>sasa ni ""mbuyu"". Kisha ukiangalia huyu mbuyu</Swahili> [uncertain transcription] and that elder came and told us <Swahili>mbuyu ni mti mkubwa</Swahili>. Eh so when the-these people are saying <Swahili>yani</Swahili> they are now comparing maybe the power of the dad in the family <Swahili>yani</Swahili> someone who is powerful like that <Swahili>mbuyu. Si unaona wanasema</Swahili> like there are certain birds that stay in that <Swahili>mbuyu. Ndio maana kuna methali ikaja ati ""mti mkuu ukigwa wana wa nyuni kuyumba yumba"".   Yani</Swahili> there were now comparing that-mm <Swahili>baba</Swahili> to be now a tree so that whenever that people when they say that <Swahili>baba</Swahili> is [uncertain transcription] <Swahili>hako kwa nyumba</Swahili> see the home- home <Swahili>haitakuwa inaendelea ilivyokuwa inaenda. Kisha hii ""demu"", si ""demu"" pia ni jina ya mtu</Swahili> but ""demu"" means <Swahili>kitambaa-kitambaa</Swahili> but <Swahili>kile kime chanikachanika kimechakaa chakaa</Swahili> which means now according to the way Walla was explaining to us he told us that now you see where now boys <Swahili>ama vijanaa</Swahili> they used to refer girl to a ""demu"" which means something that they just use-use it and leave it there. Eh? <Swahili>Kisha ""masa"". ""Masa"" si ni makosa</Swahili>. They say-ah when they say ""masa"" <Swahili>yani</Swahili> that is mom but in Kiswahili ""masa"" means <Swahili>makosa</Swahili>. So you see that one <Swahili>alikuwa anatueleza ati</Swahili> people <Swahili>yani</Swahili> being that parents, that especially the mother that they like now, mm, they-they like disciplining you.  So you see people they use-they just produce a word according to how they associate the old word-according to certain characteristics. Yea, like that ""masa"" now cuz <Swahili>huyu mtu huwa kilawakati ukiwanakosa anakuchapa sasa anaona tusimuite masa na yeye</Swahili>. (laughs)","Exactly.  Okay. <English>It will be sprouting every day like</English> for example if you-<English>a while ago</English> when I was in high-in primary <English>you see, this ""mbuyu""* [word] was there a lot. A person deconstructs it that</English>dad <English>now is  ""mbuyu"". Then when you look at this ""mbuyu""</English> [uncertain transcription] and that elder came and told us <English>""mbuyu"" is a big tree</English>. Eh so when the-these people are saying <English>that is to say</English> they are now comparing maybe the power of the dad in the family <English>that is to say</English> someone who is powerful like that <English>mbuyu.  You see they say that</English> like there are certain birds that stay in that <English>mbuyu. That is why there is a proverb that came saying that ""when a big tree falls, the birds that live on it will be unstable"".  That is to say</English> there were now comparing that-mm <English>father</English> to be now a tree so that whenever that people when they say that <English>father</English> is [uncertain transcription] <English>is not at home</English> see the home- home <English>will not continue on the way it was going. Then this ""demu"", is it not that ""demu"" is also a name for a person</English> but ""demu"" means <English>a piece of cloth-cloth</English> but <English>that which has tattered, is haggard</English> which means now according to the way Walla was explaining to us he told us that now you see where now boys <English>or the youth</English> they used to refer girl to a ""demu"" which means something that they just use-use it and leave it there. Eh? <English>Then ""masa"". ""Masa"" is it not sin.</English>. They say-ah when they say ""masa"" <English>that is to say</Englishi> that is mom but in Kiswahili ""masa"" means <English>sin</English>. So you see that one <English>was explaining to us that</Englishi> people <English>that is to say</English> being that parents, that especially the mother that they like now, mm, they-they like disciplining you.  So you see people they use-they just produce a word according to how they associate the old word-according to certain characteristics. Yea, like that ""masa"" now cuz <English>this person usually everytime you have erred she spanks you now he sees should we not call her sin as well</English>. (laughs)",CS,"*Mbuyu is a baobab tree. SM: Quotation. OLF: Oftentimes in this piece, Fred uses Swahili to quote what a hypothetical person might say. ",,,,,,
,,Interviewer,,Okay.,,,,,,,,,
,,Fred,,Yea.,,,,,,,,,
,,Interviewer,,Okay that's all I have for you for today. Thanks a lot for your cooperation. You will enable this project to be successful.,,,,,,,,,
,,Fred,,Mm thank you.,,,,,,,,,
,,Interviewer,,Okay.,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
